id,image,thumbnail,year_from,year_to,person,clothing,caption,description,source
10,AnEnglishCharwoman.png,AnEnglishCharwoman_thumb.png,1840,1850,women,costume,An English charwoman tries on her mistress's bonnet while about her daily labors.,The maid is delighted to secretly see herself as a person of a higher class.,"Engraved for Godey's Ladys' Book 1848 Louis A. Godey, Godey's Lady's Book and Magazine.(Philadelphia, Louis A. Godey, publisher, 1840.) Original copies held at Brigham Young University's Harold B. Lee Library, Special Collections."
11,AnEnglishChimneySweep.png,AnEnglishChimneySweep_thumb.png,1815,1900,men,costume,An English chimney sweep with better-dressed boys.,No boys want to be touched by a chimney sweep because they would be instantly blackened by him.,Art sketch in ink and wash
12,AnIcelandicFolkCostume.png,AnIcelandicFolkCostume_thumb.png,1800,1900,women,garment,An Icelandic Folk Costume front and back.,"The bodice and skirt are high quality black velvet and have decors of sterling silver with flowers. Silver chain lacing with hooks fastens the bodice front, and double silver stitching outlines back seams. The silver theme continues on the belt. The apron is a plaid of all the shades of black to blue to silver of the ocean's colors. The black velvet cap has a huge long tassel (""skotufa"") on one side that hangs well past the shoulder. Even the tassel has some silver jewelry at the top. If a woman were in mourning, she would wear a plain black apron. A white linen blouse with tiny buttons in front is fitted at the neckline, while large sleeves are gathered into wrist bands. She wears black stockings and shoes.","Model Nancy Jean Oliver wears her aunt's fine sewing of this black Icelandic costume. Her aunt, Betty Robinson, made many trips to Iceland from Spanish Fork, Utah, to find the proper silver jewelry to be sewn on the dress, as well as to show relatives their origins. Photos by Carma."
13,AnIrishColleen.png,AnIrishColleen_thumb.png,1840,1850,women,costume,"An Irish colleen with two shawls, an apron, and a green plaid skirt.","An Irish colleen with two shawls, an apron, and a green plaid skirt.A smaller brown jacquard shawl hugs her neck, while  a large, brown, red and green wrapping shawl provides warmth. She wears a few  warm petticoats. In cold Ireland she needed black wool stockings and heavy leather shoes, if she were so fortunate (as many women hardly ever had shoes in their  whole lives in the Irish countryside. Her shirt and apron are white linen.",Costume composed and sewn by Carma. Modeled in fashion shows by Nancy Kensingerin her long braided hair. Photo by Brett Crandall.
14,AnIrishPeatCutter.png,AnIrishPeatCutter_thumb.png,1800,1900,women,costume,An Irish peat cutter walking home.,"She is wearing a striped shawl over a woolen short-gown just to her upper hips, and has no bonnet or shoes. Her thick skirt has broad checkered stripes in dark green and black. She carries strips of peat in a handmade network of hemp to use for selling peat as fuel, It makes small home fires on a designated floor space of sand in the center of a room. There is a hole for smoke to escape at the peak of the roof above. And peat is also burned in little stoves for weavers in some bigger homes.","Back view of a woman drawn by Carma, after a front view in Lister, Costumes of Everyday Life, 1972."
15,AnIrishSpinningWheel.png,AnIrishSpinningWheel_thumb.png,1840,1860,women,costume,An Irish Wheel,Irish wheel in the dooryard to create spools for setting up a loom for weaving.,Royal S.
16,annElizabeth.png,annElizabeth_thumb.png,1850,1860,women,costume,Ann Elizabeth (Betsy) Webster wears black mourning jewelry. 1860s,"For a period of mourning for the loss of her husband, Francis Webster, Ann wears a carved, jet broach, possibly made of less expensive black glass. It is pinned on a white, loosely knotted tie. Over a black dress, her shawl is lighter.","Detail of a portrait from Special collections at Sherrat library, Southern Utah University, Cedar City, Utah. Permission of Paula Mitchell."
17,AnOldBritishGrandmother.png,AnOldBritishGrandmother_thumb.png,1840,1860,women,costume,An old British grandmother in Sunday bonnet is seated outside to read her Bible in the good light of day.,"In her Sunday bonnet and white apron, with a black shawl over her black skirt, this woman keeps her Sabbath. The ruching of white folded lawn around her face is very close and sets off a quality black bonnet with a little black ribbon bow on the very top.","Gertrude Jekyll, Old English Household Life: Some Account of Cottage Objects and Country Folk (New York, HarperCollins Distribution Services; Revised edition ,September 1975)."
18,AnOldIcelandicFolkCostume.png,AnOldIcelandicFolkCostume_thumb.png,1800,1900,women,costume,An old Icelandic folk costume.,"This costume on a mannequin in the Icelandic Folk Museum of Reykjavik, shows a jacketof teal-blue wool with leather insertions over the shoulder, and black fur collar and cuffs. The edgings down the front are silver embroidery on wool, with a multi-colored silk scarf tucked into the neck of a black wool bodice. In her silver-studded belt is a silver ceremonial household knife and sheath. The skirt is long, midnight blue with white embroidery above the hem, anda leather binding on the hem edge of the skirt. Her shoes are black leather. This model is not wearing the typicalIcelandic cap.","Photo by Betty Robinson at the National Icelandic Museum, Reykjavik, Iceland."
19,AnOldIrishWomanInAWoolenCloak.png,AnOldIrishWomanInAWoolenCloak_thumb.png,1800,1810,women,costume,An old Irish woman in a woolen cloak.,"This woman is leaving a fine home with a paneled door, and has thrown her cloak over her shoulders with its hood covering her head. There is lining in the cloak, but we cannot determine its nature. This cloak was not cut in a circle, but was made with a strong yoke on which a long piece of wool was tightly gathered. Tiny buttons on the right side of the hood will close the hood under the chin. Her hand indicates a long-sleeved dress underneath. This is probably a woman of some means to have such fine outerwear. The cloak is likely red,dark browns,or green, the most popular colors for cloaks.",Irish book. CARMA CHECK BYU
20,APembrokeshireWelshGirl.png,APembrokeshireWelshGirl_thumb.png,1800,1810,women,costume,"A Pembrokeshire Welsh girl is putting on separate yellow and red striped sleeves to cover her arms for warmth, and for added color.",Welsh women's common dresses were often added to with a sections of detached forearms. Contrasting fabrics were fashionable. (See black/white drawings of 0ther colored styles.),"Original in the National Gallery of Wales, modified by Ken Etheridge in Welsh Costume in the 18th and 19th Century."
21,APoorWelshFisherman.png,APoorWelshFisherman_thumb.png,1800,1810,men,costume,"A poor Welsh fisherman carries his coracle and one paddle to the water on his back. A coracle is very light-weight, woven of wickerwork and covered with a watertight substance.","This painting shows a Coracle man from the many waterways around the south coast of Wales. The artist,George Delamott, shows his worn-out wool pants, patched and re-patched over his knees, where he kneels in his coracle. One flap of a pocket is shown over his left hip. He wears a white shirt, a red vest and a very short blue jacket. His shoes are probably water-damaged leather. Without doubt he wears wool socks. He has short hair for convenience.","Watercolor by George Delamott, 1818. Nat'l Library of Wales. Permission"
22,AProgressiveGwentGirl.png,AProgressiveGwentGirl_thumb.png,1800,1810,women,costume,"A progressive Gwent girl reading out of a language book, educating herself to be able to teach others.","On her head is a warm red and yellow cap edged in white lace. The brim of her black top hat is curled upward on each side. Blue and White striped wool makes a front apron where she has abandoned her knitting of grey wool stockings. Her light blue scarf circles her neck over a chemise, and tucks into her skirt. The cheerful grass green skirt has red and white flowers, beneath which she would be wearing white or striped wool petticoats. A dark, rose-colored, square shawl with white borders folds into a triangle to lie from elbow to elbow. The chair is lightweight, as most of the Welsh people were of small-boned or dainty stature.","Original in the National Gallery of Wales, modified by Ken Etheridge in Welsh Costume in the 18th and 19th Century."
23,ApronFromBlekingeSweden.png,ApronFromBlekingeSweden_thumb.png,1800,1900,women,garment,"Modern reproduction of an apron from Blekinge Sweden, detail of fine appliqu.","Appliqu of sheer batiste faces the bottom edge of a novelty striped voile fabric. Above the complicated hand applique is another plain band of batiste to decorate and give more ""body"" to the apron.","Apron made by Carma for her own costume of Blekinge. The pattern indicates the broken ice on the seashore of southern Sweden near the city of Karlskrona, where the ancestors of Carmas husband originated."
24,ApronOfBlekingeSweden.png,ApronOfBlekingeSweden_thumb.png,1800,1900,women,garment,"Apron of Blekinge, Sweden, has a band of decor at the hem made of sheer novelty cotton with applique of slightly heavier white muslin fabric.",The design on the hem represents the abundance of broken ice on the southern coast of Sweden in all the colder months of the year. This apron was worn over a bright red wool skirt and other linen and wool petticoats for the Bleckinge folk costume.,"Lanshemslojdensarkiv, in 'BleckingeDractenby Ingrid Dahlin"
25,ArnoldAbegg.png,ArnoldAbegg_thumb.png,1870,1880,men,costume,Arnold Abegg age 29 in a handlebar mustache and very neat curly hair.,"The Abeggs were handsome, wealthy peoplein Switzerland and could afford finely tailored clothing. There is, around Arnold's neck a gold chain to hold his expensive pocket watch.   The LDS missionaries found the Abegg family in Zurich, When first hearing them, Arnold seriously went to pray in a private place--he was told by a voice that what the missionaries were teaching was completely true. All his Abegg family converted in 1854 and knew Karl G. Maeser's wealthy family in Germany. Arnold devoted himself to study prodigiously, learning many subjects, especially engineering. After 1875 the Abeggs were in USA and Arnold was a whirlwind in the Utah Territory, mining and contracting large projects, a flour mill and a District School. At age 40 a beautiful girl caught his eye and although she was 16, he married Louisa Matilda Elizabeth Haag with both their mothers present with them in the Logan Temple ceremony. Louisa and all their child outlived her husband. Eventually she remarried for just the last 16 years of her life in Colonia Juarez, Mexico, a Mormon Colony of believers. His descendents in Colonia Juarez, Mexico, were very handsome people when Carma met them at her age of 10, on a trip with her father for the LDS Church. ",Internet biography of Arnold Abegg: http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=30112501
26,AScottishChildWearingBreeks.png,AScottishChildWearingBreeks_thumb.png,1845,1855,child,costume,"A Scottish child wearing ""His Father's Breeks"" (Breeches).","An extremely poor fisherman's son has clothes too large for him as his daily wear. This Calotype shows he is barefoot with one suspender to hold up his father's trousers, rolled far up at the hems. A tam o'shanter of heavy wool with a center pom-pom is a slight protection from the cold winds Worn about 1845.","David Bruce, SunPictures,the Hill-Adamson Calotypes (London and New York, New York Graphic Society Ltd. , 1973)  RSC says public domain,"
27,AScottishFisherLassie.png,AScottishFisherLassie_thumb.png,1800,1810,women,costume,A Scottish fisher lassie has a tucked up skirt and a creel of fish to sell.,"In A Scottish fisher lassie has a tucked up skirt and a creel of fish to sell.The white striped apron is tucked into her yellow and black wide-striped skirt. She has also pinned the outer skirt up on each side over padded dark grey petticoats. The lassie wants to keep her beautiful, bright-colored outer skirt clean, as her darker petticoat underneath would sometimes be splattered with water. On her back is a heavy creel layered with straw and fresh fish she has purchased from the fishermen, and will now carry into town to sell them as her daily business. When this outfit was modeled with the creel in Carma's fashion shows, it always contained 20 lbs. of fresh fish packed on straw as the model walked through the audience. Carma's line of narration was, ""If it doesn't smell like history, it isn't history!"" A leather strap holds the creel across the girl's strong shoulders. Around long hair she has tied a white fringed neck shawl which helps keep her warm in the sea winds. She wears thick white wool stockings and clogs of wood because constant sea water would destroy leather soles. The model is Mairi McCloud.",This costume was made by Carma after designs in an early 1845 Calotype from Scotland.
28,AStripedCottonDanishDayCap.png,AStripedCottonDanishDayCap_thumb.png,1800,1900,women,garment,A striped cotton Danish day cap with wide ties to make a bow under the chin.,"Around the face edge of the cap is a tiny, white zigzag trim in front. The wide front pieces usually just hanging were cut on the bias.A drawstring tie in the back adjusts the size of the cap for the head, younger or older.","Xerox given to Carma when her cameras were breaking down in the AalborgHistorical Museum, Jutland, Denmark"
29,ASwanseaShrimpMan.png,ASwanseaShrimpMan_thumb.png,1800,1810,men,costume,A Swansea Shrimp man from the Southern coast of Wales.,"This poor man is patched all over his outer clothes. He stands on the beach, barefoot, with his scooper-net for finding shrimp. His breeches are permanently cut short for his daily wading. A straw hat with a dark hatband over uncut hair keeps his head warm or dry in rain.","Watercolor by George Delamott, 1818 National Library of Wales."
30,AuthenticSwedishDanceFolkClothing.png,AuthenticSwedishDanceFolkClothing_thumb.png,1800,1810,family,costume,Authentic Swedish Folk Clothing on a dance group in modern Sweden celebrating Mid-Summer's Eve --when it never gets dark.,"On May 21st, at the summer solstice, Scandinavians all celebrate with green wreaths on a Maypole. They dance singly or in couples around the pole, with an excellent buffet of food afterwards. This is a re-creation of very ancient religious practices of the Solstices. The women wear woolen skirts, bright colored aprons indicating different provinces and white linen shirts. They have various provincial designs for their caps. Bodices and sashes are often decorated in gold lace. As much silver jewelry as can be afforded is worn on both women's and men's shirts. If possible, all men wear pale leather or light colored breeches with knee stockings and woven garters. Men usually wear checkered or novelty striped long vests of elegant hand-woven wools with many silver buttons. The older the costume, the longer the vest, going back into the 1700s. At necklines of their shirts, men like to wear silver clasps for closure jewelry.",Photo found on the Internet under Sweden midsummers Eve.
31,AWell-DressedBrideInIceland.png,AWell-DressedBrideInIceland_thumb.png,1800,1900,women,costume,A well-dressed bride in Iceland.,"An Icelandic wedding ensemble on a live model shows Icelands gorgeous embroidery in shades of gold around her black wool skirt. Smaller embroidery decorates her bodice. A round broach holds the sides of the bodice together over a white linen blouse. Her belt is made of many cast and engraved square links, and hangs with as many jewlry squares as she can afford, according to her wealth.   On her head is a shining gold crown surrounding the base of a tall, veil-covered structure -- a traditional form made of white papier mache~shaped in a large, forward-angled hook. The veil extends past her shoulders, exposing both her crown and long titian hair. All this metal appears to be gold for this particular bride. Much other jewelry for Icelandic costumes is of silver.  Shoes are always black leather, usually with black stockings. ",Photo by Betty Robinson in Iceland.
32,AWelshFamilyCartingGoods.png,AWelshFamilyCartingGoods_thumb.png,1800,1810,family,costume,"A Welsh family carting goods to market, while other villagers walk as usual.","The woman on the left is bringing woven fabrics in a head-basket to sell at market. A woman in the cart has a figured neckerchief over a betgwn and skirt, with a striped apron. The woman driving the cart beside her old father wears an exceedingly tall hat left from the 1700s. Both men on cart or horse wear lower-crowned straw hats.","Bliss J. Brimley, Book of Thomas Job, (American Bible Society, 1987)"
33,AWelshGirlFromCambria.png,AWelshGirlFromCambria_thumb.png,1800,1810,women,costume,A Welsh girl from Cambria wears a local folk costume from the city of Gwent.,"A Welsh girl's common red hair is topped with the traditional black hat, and she wears her flowered shawl over a dress of vertically striped orange, black and blue. A pink and red checked apron holds the little shawl points in place. Gray and black booties have tiny buttons on the inside of the ankles, and black elbow length gloves are fingerless.","Original in the National Gallery of Wales, modified by Ken Etheridge in Welsh Costume in the 18th and 19th Century."
34,AWelshOysterWoman.png,AWelshOysterWoman_thumb.png,1800,1810,women,costume,A Welsh oyster woman with her mule and baskets of oysters.,"From Llangwm, Pembrokeshire an oyster woman brings in baskets of fresh oysters from the coast to villages nearby, packed on the donkey with an extra creel on the woman's back. Her apron is made of two widths of checkered wool, and a bold plaid shawl is tucked into the apron band. A daycap with ruffles wrapped around the chin is warm in cold winds below her stovepipe hat. A sturdy, long-sleeved bed gown may extend to the hipline outside the skirt. Black wool stockings and black shoes walk many miles each day.","Gertrude Jekyll, Old English Household Life: Some Account of Cottage Objects and Country Folk (New York, Harper Collins Distribution Services; Revised edition ,September 1975)."
35,AWoolWalkingWheel.png,AWoolWalkingWheel_thumb.png,1840,1850,women,costume,"A wool"" walking ""wheel for spinning wool is brought outside to the dooryard inScottish good weather","A Scotswoman works outside in the sunshine rather than in her shadowy, tiny home built of rocks and thatch. The aged woman wears a wool plaid shawl over a woolen bodice. Her underclothing would be a linen chemise and petticoats of linen and wool over her under drawers. A large linen apron protects her skirts from some dirt, foods and soot. She is white-haired and almost bald, but has a cozy, padded, close- fitting bonnet to cover her head and ears in most weather.","T. Edgar Lyon Jr., John Lyon: the Life of a Pioneer Poet, (Provo, UT, Religious Studies Center, Brigham Young University, 1989) To see a walking wheel in action, go online to YouTube: Walking Wheel for Spinning."
36,babyCaps.png,babyCaps_thumb.png,1800,1800,child,costume,"Crowns of baby caps, hand-made by cottage embroiderers from the countryside around Glasgow, Scotland, and sent to world markets for finishing.","These crowns were embroidered on fine muslin, and first marketed to home sewers in Glasgow. Soon they were shipped to markets throughout Europe and America.","Photo by Carma in the Manchester, England area at the Costume Galleries at Rusholm."
37,babyDress.png,babyDress_thumb.png,1800,1890,child,garment,Lace and eyelet embroidered baby blessing dress with center front opening and a conservative length.,"This work of art was made by an expectant mother who intended it to be used by all her future child. In the LDS Church the baby is given a name and a blessing rather than a ""christening,"" as babies are considered pure, and wholly incapable of any sins until years older.",Elaborate embroideries suggested by other baby gowns are illustrated on a very conservative length of gown. Drawn by Carma
38,babyDressPanels.png,babyDressPanels_thumb.png,1800,1850,child,costume,Baby dress enlarged for a toddler.,"This baby dress shows how early Americans economized by enlarging a baby dress by adding length to the hem and sleeves, as well as triangular side sections with underarm gussets, sewing it from baby size to toddler size. They used closely matching woven fabric in fine white cotton. Some of the seam joinings may have then had some embroidery for pretty effects, especially in obvious cuffs and hem extension.","The enlarged original dress was diagrammed and modified by Carma with dots to identify the added parts of fabric. From American Folk Art Museum: The Ralph Esmerian Gift, American Radiance, Tanya Heinrich ed. (Seattle, Marquand Books Inc., 2001)"
39,babyHyrum.png,babyHyrum_thumb.png,1840,1850,child,costume,"Baby David Hyrum in Emma Smith's arms,1846, after his fathers martyrdom.","The baby asleep on Emma Smith's lap is a photograph of a daguerreotype, later made into a colored oil painting by the baby grown up, David, Hyrum himself. Here David is about 18 months old when he wore a dark blue dress with gold buttons. Emma's clothing was mourning black. With blue fabric similar to Joseph Smith's Nauvoo legion coat, Emma could have made her little boy a dress with military buttons as a memorial of his father. David H. became an excellent oil painter, and did this scene with the blue dress.","Photo given to Carma by the Community of Christ Church, Independence Missouri."
40,babyUndershirt.png,babyUndershirt_thumb.png,1800,1875,child,garment,A baby undershirt to be worn under a baby corset,"On right, the sheer linen and dainty lace and embroidered insertion at the shoulder of the corset cover, placed on a photocopy machine to see the details of fern embroidery on mull linen, and then very small lace decoration around arms eyes. Fern embroidered trimming insertions and one-half inch knitted linen lace. The overlap in front is here closed with a straight pin just to give proportions. The center portions flip forward at the neckline, down over a small corset, to keep the growing baby's bones good and straight. That was the strange belief of some parents in the 1700s to 1800s. Right: shows the shoulders of the corset cover. This white sheer linen cambric item was made in Cincinnati, anywhere between 1790-1850. .This delicate shirt was fully restored with 140 denier fine lace-making thread by Carma",From the antiques collection of Winifred Bowers of New York City. Item is now in the Brigham Young University Fine Arts Historic Clothing Collection. Small shirt drawn by Carma.
41,backWorkShirt.png,backWorkShirt_thumb.png,1800,1840,men,garment,Back view of 1800s work shirt with gathered center. Made of beige and white striped cotton/linen.  ,"This shirt is made mostly of plain rectangles cut to fit one half of the man's waistline measurement, or the full width of his shoulders plus 4 inches. Two large rectangles are the front or back, sewn together, or could be made from folding a long piece of fabric at shoulders. The shoulders have a horizontal slit for a neck opening, which is then cut slightly down in front in a shallow U to fit the forward thrust of the neck. This slit extends from the center point of the front and back out toward the top of the shoulder. The entire slit should be 4 inches larger than the size of the man's neck. This results in a larger neckline where the shirt is gathered in the center back, and on the fronts to each side of the placket opening. This allows for expansion of the chest. This slit (once gathered in) is covered on the inside with all seams tucked inside of a long, triangular gusset, called a ""strap."" Note that the back neckline is gathered only in a center spray, not all the way across the back, as so many supposedly 1800s shirts are incorrectly made today with a back yoke.  On the center front is an 8 inch long vertical slit opening of this pullover shirt. The slit is faced with a rectangle of fabric, making about 2 inches facing on each side and a bit more at the bottom of the slit. It is wise to sew this slit facing with a machine and with tiny-size stitches on the bottom 2 inches of the slit. After pressing, add judicious tiny stitching with finer thread, by hand, to secure the extremely small seam allowance on this bottom 2 inches. The entire shirt can look worn out and won't wash well if the center front facing gets torn or ragged.   On a work shirt of wool, which was often red, blue or possibly brown dull-striped fabric, an actual collar was only added at the neckline half the time. Usually, only a collar band was sewn on to secure the neck for a great many work shirts.  ",Striped shirt made for model Ron Reed with photo by Wayne Keyes
42,bamcoats.png,bamcoats_thumb.png,1800,1800,men,costume,Farmers in America and European countries used short barn coats for daily chores thoughout the year. They were made of heavy common tweed or another natural color of undyed wool.,"A barn coat was usually a free-swinging, short jacket, just for hurridly slipping on by a male member of the family to go out and tend animals in a barn. Such coats were rarely lined, but often had patch pockets for a handkerchief and odds and ends. Or it could have bound pockets secured with the same wool, as seen here. In center back at the hem was extra room afforded by a box pleat or a stitched pleat over a slit. Worn by both boys and men, usually made from scrap wool sewn and even patched together at home.",Seen in museums and illustrations of farmers' wear in many countries. Drawn by Carma.
43,beadedHandbag.png,beadedHandbag_thumb.png,1800,1890,women,costume,Woman's beaded handbag or reticule.,"Woman's beaded handbag or reticule. CDFig. ??This small purse was made by Hilda Rollins Ford, who, herself, made soft, child shoes.","Salt Lake City DUP Museum, #97, donated by a Provo member of DUP"
44,BettyRobinsonsExtendedFamily.png,BettyRobinsonsExtendedFamily_thumb.png,1800,1900,family,costume,"Betty Robinson's extended family in celebration costumes for ""Icelandic Days"" in Spanish Fork, Utah, ca. 2007. ",Young parents and two sons are carefully dressed for the celebration in Utah. Note the wonderful Edwardian wallpaper in the old home Preserved in Spanich Fork.,Photo by Betty Robinson
45,blackCrocheted.png,blackCrocheted_thumb.png,1840,1850,women,shawl,Black color shawl.,Detail of a black crocheted wool shawl with almost 4 inches of fringe.,"From the Thomas Job trunk in Santaquin, Utah."
46,blackfan.png,blackfan_thumb.png,1850,1860,women,costume,"A black fan from 1850s forward is made of bamboo sticks and Chinese-printed paper, and is used for mourning",a fan with bamboo sticks has black paper with Sang Dynasty Chinese characters printed on it. The Chinese exported such fans all over the world into different cultures. This middle-class fan was found with other mourning accessories which came from Norwegians in Spanish Fork Utah.,"Items purchased at Cat's Cradle Antiques in downtown Provo, Utah. Given by Carma to the BYU Fine Arts Historic Clothing Collection"
47,BlekingeSwedenpaddedHeadgear.png,BlekingeSwedenpaddedHeadgear_thumb.png,1800,1900,women,garment,"Blekinge, Swedenpadded headgear to be worn beneath a linen headscarf.","A wide linen band crosses the hairline at the top of the face and is tied over the ears and behind the neck. A roll of padding is attached on the band at the top of the head. When a large linen headscarf is tightly pinned over the head, the scarf will lie flat at the hairline but immediately rise up and over the padding to emphasize the white linen shape around a lovely Swedish face.",Made by Carma after samples found in Sweden
48,BlondeHairFashion.png,BlondeHairFashion_thumb.png,1848,1858,child,costume,A chubby teen's blonde hair fashion in a French style with ringlets for 1848.,"Hair with three ringlets on each side of the face. The center top hair is taken en masse straight back from the face and fastened with a decorative comb standing up in the back hair, which is fashioned into a pretty knot. She wears a tiny silk scarf around her neck tied with lace edges.","Drawing by Carma after the magazine ""Le Moniteur de la Mode"" 1848."
