id,image,year_from,year_to,pdf,person,class,clothing,caption,description,source
11,0743_image.jpg,1800,1819,1800-1819,men,working,garment,"Trouser pocket on drab cordoroy, showing pocket access","The same front-fall opening that allowed access to the man, also allowed his hand to reach into his pocket, as seen in the image above.",
12,0125_image.jpg,1800,1860,1800-1819,men,working,garment,"Broadfall trousers, insideback sewing diagram. 1800-1860.","Inside of waistline shows inner seams of trousers, muslin pockets hanging down, and two buttons inside the top back to fasten onto separate suspenders. At top of center-back of waistline is a bias cut triangle, a single layer of cloth, rollhemmed, to let out or cinch in waistline using a tiny belt sewn onto the outside. These trousers could be taken in for a more slender man only by the side seams at the top, and down to the lower hip.",Watercolor sewing diagram by Carma.
13,0038_image.jpg,1800,1820,1800-1819,men,working,costume,"A brewer with his casks, his shoulder yoke, and a mug, wears an apron and an older coat and breeches.",,
14,0062_image.jpg,1800,1820,1800-1819,men,working,costume,"Gardiner with a watering can and rake. He has very full sleeves, and a vividly striped waistcoat, tucked into his waistband.",,
15,0032_image.jpg,1800,1820,1800-1819,men,working,costume,Farmer in smock and knee-breeches.,"He wears gaiters over striped sox with ribbon-garters and leans on a pitchfork. His hat has a low, rounded crown.",
16,0122_image.jpg,1800,1819,1800-1819,men,working,costume,"A very poor, barefoot boy wears ragged clothes as he sells his fruit from a basket.",,
17,0039_image.jpg,1800,1819,1800-1819,men,working,costume,Footman to a wealthy home,"For reasons of tradition, wealthy people liked some servants to dress in clothing of the previous century. This footman wears a tricorn hat with tassels, a doublebreasted coat, knee breeches, and white stockings with black buckled shoes. His staff is held in gloved hands. He may even be wearing a powdered wig, though that is not distinct. He opens and closes doors, carries luggage and packages, runs errands, and attends to any tasks assigned by upper servants or the master and mistress.",
18,0057_image.jpg,1800,1819,1800-1819,Men & Women,working,costume,Working-class patrons eating from a street cart.,"Like the upper-classes, common men wore top hats, shirts, cravats or ties, waistcoats, and snug trousers, though of lesser fabrics and imperfect cut. Clothing was often bought second or third hand. Footwear of all kinds was worn, slippers, shoes, and boots. The woman here wears a dress with under-bust waistline, and a blouse with a ruffle around the neck and short, gathered sleeves. Her hair is drawn up and back, with curls beside her cheeks.",
19,0058_image.jpg,1800,1819,1800-1819,Men & Women,working,costume,Working people in poor clothing.,"Woman on left carries a basket on her head of something so sell, perhaps fish She wears a short gown buttoned firmly at the high waistline and open below. Her sleeves are short and puffed, and a yellow scarf is tucked into her neckline. On her head is a sheer day cap with ruffled front. Her green skirt is torn and patched at the knee. The man is a bell-ringer (“Ten o’clock and all’s well…”) wearing a shabby coat and knee-patched breeches over white gaiters and beige shoe-covers. His hat has a long extension in back to hold off the rain as he walks through the village on wet evenings.",
20,0060_image.jpg,1800,1819,1800-1819,Men & Women,working,costume,A traveling salesman has watches to sell to an interested housemaid.,"He wears a rumpled frockcoat with an M-cut lapel and wide cuffs. His black hat is a flat type. Beneath kneebreeches, he has gaiters to protect his calves and buckled shoes. The maid wears a somewhat fancy day cap and a scarf tucked into her neckline. A high waisted apron follows the Regency lines of her red dress. An opening at the side of her dress allows her to reach through the dress to a pocket in the petticoat where she keeps her valuables. With her dress at ankle length for much work, her slippers are obvious.",
21,0665_image.jpg,1800,1819,1800-1819,Men & Women,working,costume,Common folk buying and selling.,Children’s highfashion in France from Journal of young ladies and young men. Ca. 1873.,
22,0044_image.jpg,1800,1819,1800-1819,women,working,costume,Nursemaid for wealthier children.,"Though the young woman is dressed nicely, her apron gives the hint of a servant rather than a mother. Both children are well dressed. The boy is in a well-fitting blue suit with a white shirt beneath, and a toy whip to carry on his walk. The little girl has a gathered, high-waisted frock, and is wrapped in a rather elaborate shawl, which a poor maid would not have for her own. The young woman’s day cap has ear-flaps, but no ruffles over the front. It appears to be sheer over the crown of the head and has a tie under her chin. She wears white stockings and black slippers.",
23,0040_image.jpg,1810,1819,1800-1819,women,working,costume,Bonnet-maker (milliner) must be better dressed if her clients are to believe she understands fashion.,"Slightly lower waistline and flared skirt with tucks on the bottom indicate it’s closer to the 1820s. A long, green, silk apron is more fashionable than a white linen one that servants would wear.",
24,0063_image.jpg,1800,1819,1800-1819,menwomen,working,costume,Middle-class woman and child.,"The woman might be a nursemaid or the mother of the boy. Her highwaisted dress of flower print has a scarf around the neckline and elbowlength sleeves. Her day cap has long ruffles on sides and back, with a ribbon wrapped around it. A red apron is tied below the high waist and is reinforced with a cord or string knotted in front. The boy’s clothing is fancier than hers, with a double-breasted green jacket, a white collar, and a horizontally striped waistcoat. However, his corduroy trousers are too short, indicating that his family is not wealthy. He has ankle-high, tie-up shoes.",
25,0033_image.jpg,1800,1810,1800-1819,women,working,costume,Housemaid with cleaning brush.,"Either a mop or broom is used with a bucket of water to clean a floor. The maid wears a striped dress with straight, short sleeves, and a scarf tucked into the neckline. Her apron is straight and white, with a waistline typical of the first decade of the 1800s. Her mob cap is tied around with a red ribbon or narrow scarf",
26,0034_image.jpg,1800,1819,1800-1819,women,working,costume,Milkmaid with buckets on a yoke.,"The girl wears a cloth bonnet and a rust-colored dress with a cape-like collar and long straight sleeves with cuffs. A yellow scarf inside the collar helps pad her shoulders against the weight of milk. Her long apron is patched, and she wears tieup shoes. Each bucket hangs by a leather strap from the wooden yoke. The assortment of empty containers hanging around the main buckets were for measuring out the amount of milk any customer would request as she traveled up and down the streets calling out her song of fresh milk for sale.",
27,0021_image.jpg,1800,1810,1800-1819,women,working,costume,Bucket seller,It’s likely that the men of her family make the buckets she sells from door to door or in the marketplace. Her dress is made up of different fabrics for sleeves and skirt. A redchecked scarf covers her neck and bosom. A light blue apron is pinned to the bodice and falls above her skirt hem. Her mobcap has a very long ruffle around it. Her shorter skirt would make much walking more comfortable. She seems to be wearing slip-on footwear.,
28,0030_image.jpg,1800,1819,1800-1819,women,working,costume,Fish seller,"This woman with a basket of fish on her head cries out her wares in a loud, piercing voice, thus creating the epithet, “fishwife.",
29,0643_image.jpg,1700,1899,1800-1819,women,working,garment,Plain mobcap worn by most lower-class women.,"Hair was almost always kept covered during most of the 1700s and 1800s because there was plenty of dust and dirt in the air, and more from other sources to soil the hair of a working women. Washing of hair was well spaced out, being many weeks or months between. Washing the hair was considered unhealthy, since wet hair was believed to give a woman chills, inflammation of the lungs, and lead to worse disease. An ordinary mobcap was cut from a circle of cloth, with a casing spaced in an inch or two in from the edge, and threaded with string to draw it snug.",From Pinterest
30,0008_image.jpg,1800,1899,1800-1819,women,working,garment,“Pockets” to be tied on under an apron or skirt.,"Another handy accessory of both working and middle-class women was a tied-on pocket or two. A slit in the apron or skirt allowed the woman to reach inside to place or retrieve her necessities or a convenient handkerchief. Hidden from sight, a pocket was less likely to be snatched by wiley thieves. Pockets were even used by the more well-to-do, but made of fancier materials. They provided a safe and hidden place.",Drawing by Carma. Free use.
31,0153_image.jpg,1800,1819,1800-1819,men,middleupper,costume,"Typical men’s better clothing, middle and upper-class items.","The same items of clothing are worn by most classes of men, but the fabric and cut depend on wealth. Middle-class men would wear cheaper fabrics and ready-made items. The poor might have torn, mended, or dirty items. They would probably buy second and third-hand clothing from carts on the street.",From a fashion plate on Pinterest.
32,0009_image.jpg,1790,1820,1800-1819,men,middleupper,garment,"Men’s Shirt Pattern and construction, 1790-1820 and on.","-- Collar buttoned to shirt, often worn up against cheek. -- Gathering at neck. -- Yoke over shoulder, from neck opening to sleeve. -- Front opening about 6-8 inches, buttons attached for closure. Ruffles may be attached. -- Gathering top of sleeves and above cuff. Cuff about 2-3 inches wide. Sleeve is NOT full like a pirate shirt! -- Shirt is cut for widest part of body, which causes top of sleeve seam to fall over shoulder onto upper arm. -- Reinforcement band is sewn under sleeve attachment. -- Underarm gusset to ease movement -- Slit at hem up 6-8 inches, with reinforcement at top of slit. Pattern for this shirt is in appendix. Also made by professional pattern companies in Historic Clothing section.",
33,0123_image.jpg,1800,1819,1800-1819,men,middleupper,garment,"Photo of men’s shirt as described above, with neck ruffle. Ca. 1815. Seen in many museums.",,
34,0121_image.jpg,1800,1819,1800-1819,men,middleupper,garment,Photo of men’s shirt as described above. Seen in many museums.,,
35,0148_image.jpg,1800,1819,1800-1819,men,middleupper,costume,Men's sporting outfit. Ca 1813.,"High Coat collar at the back of his neck is from padding and stiffening. Sleeves are gathered at top insertion. The coat has a wide collar and lapels, and extra-wide cuffs that cover half of the hand. His vest has buttons from top to bottom but is only buttoned at bottom. The shirt has front ruffles. Longer knee breeches are buttoned at the side of the knee, though he could also wear snug trousers. His Wellington Boots are folded over at the top indicate rough activities rather than day or evening wear. His whip may indicate horsemanship. He wore curled hair and a top hat.",
36,0146_image.jpg,1800,1819,1800-1819,men,middleupper,costume,"Regency Era Day clothes, 1812.",Left: Doublebreasted tailcoat with high-buttoned neck. Gatheredtop sleeves. 1 inch of waistcoat properly shows beneath his coat. He wears breeches with stockings and slippers. Gaiters protect ankles from dirt. Right: Highnecked tailcoat and shirt collar with a bow-tied cravat. Gathered sleeve tops. Trousers with split hem to cover shoes. Top hat.,
37,0037_image.jpg,1800,1819,1800-1819,men,middleupper,costume,Comparison of Regency Era Day clothes - part 1,"Left: Early 1800s film costume. Not quite authentic. Most of the double-breasted tailcoat and neck-gear are accurate, but the coat is cut very high in front, showing 4 inches of waistcoat, whereas 1 inch or less was more authentic fashion. Also, entire shirt cuffs descend below the coat sleeves, where just a bit of cuff or ruffle was usually the mode. Since such features were never seen in early 1900s fashion plates, we may suppose the costume designer chose these departures from authenticity. The gentleman wears boots and carries a cane. Right: Regency Fashion Plate. Tailcoat with inner pleats and gathered sleeve tops. Note diamond-shaped back piece, and covered buttons above tail pleats. Tight trousers, possibly knitted. Slippers for evening wear. Top hat.",
38,0049_image.jpg,1800,1819,1800-1819,men,middleupper,costume,Comparison of Regency Era Day clothes - part 2,"Left: Gentleman correctly dressed for playing billiards. Watch fob hangs below waist. Smoking means no ladies present. Right: Outdoor wear, hat, boots, and gloves. Matthew Rhys plays Mr. Darcy.",
39,0155_image.jpg,1800,1819,1800-1819,men,middleupper,costume,Formal and Evening Clothing,"Left: Film formal wear with double - breasted tailcoat, knee breeches, double fobs, lace shirt cuffs, gloves , and walking stick. White stockings and slippers, possibly indicate dancing. Fashionably tousled hair. Not happy. Right: Painting from Regency Era. Wide collars of fur on tailcoat. Patterned silk waistcoat showing a fashionable border below coat. Silk knee -breeches and sheer silk stockings with slippers. Quite self - content.",
40,0147_image.jpg,1800,1819,1800-1819,men,middleupper,costume,Regency Era fashion plates of men’s coats and hats.,"Left: Very plain straight coat. Gathered tops of sleeves, pocket flaps, high buttoned tailcoat, light waistcoat, walkingstick. Standard beaver top hat. Slim trousers with shoes. Right: Greatcoat with 3 capes indicates a sporting driver. Theoretically, sporting drivers laughed at rain because multiple capes kept shoulders dry. Giant cuffs may keep hands warm at racing speeds. (Wow! 25 MPH!) Trousers are tucked into tasseled Hessian boots. Hat with sloped brim front and back may also be meant to aid speed, or at least look like it.",
41,0150_image.jpg,1800,1819,1800-1819,men,middleupper,garment,Greatcoat with 5 capes,Multiple capes indicate a sporting driver or one who drove in any kind of heavy weather. Multiple capes kept shoulders dry. It was also a show-off coat for men who considered themselves speedy and accurate drivers.,"This authentic coat is from a museum, seen on Pinterest."
42,0016_image.jpg,1800,1819,1800-1819,men,middleupper,costume,1800 military red coat uniform and bearskin hat on Colonel Thomas Grosvenor (1764-1851),"He has an officer’s epaulets, gold buttons, and gold emblem necklace denoting rank. Very young in this painting, Grosvenor became famous and outstanding for skill and courage.",
43,0564_image.jpg,1800,1819,1800-1819,men,middleupper,costume,American Naval Uniforms of 1810,"The officers on right wear double-breasted navy coats with gold edgings and epaulets. One wears knee-breeches and stockings with shoes. The other wears tight trousers tucked into Hessian-style boots Both have bicorn hats, wide brims folded together at the tops. Mid-level seamen wear navy coats, red vests and top hats. His bell-bottoms are more narrow than usual, but that might be due to the artist rather than reality. Top hats and bicorns would be pretty unstable in a high wind. A regular seaman wears striped trousers and a low-crowned hat.",Seen on Pinterest.
44,0018_image.jpg,1800,1819,1800-1819,men,middleupper,costume,Regency British officer naval uniforms.,"Left- This officer wears a half frockcoat (left) in the darkest navy blue (or possibly black). It is double-breasted and buttoned. The abundance of gold braiding shows high rank. Right- The junior officer on right wears a tailcoat in the same dark color but with no gold braid. Both wear white knee-breeches buttoned below the knee, white stockings, formal slippers, and carry gloves.",
45,0059_image.jpg,1800,1819,1800-1819,men,upper,hairstyle,"Hair was preferred curled, tousled, and swept forward, even when there wasn’t much hair.","Left - King George the Fourth (a.k.a. ""Prinny""), Prince Regent during his father’s illness. Center - Even older men did what they could to have fashionable hair. Right - Portrait shows carefully tossed curls above multiple collars and elaborate neckcloth. Painting from Wikimediafoundation.com. Three styles of sideburns are shown.",All seen on Pinterest. Third painting from wikimediafoundation.com.
46,0070_image.jpg,1800,1819,1800-1819,men,upper,hairstyle,"Men’s Regency and Empire hairstyles were usually curled, tousled, and swept forward over cheeks and forehead, various sideburn styles. Very high collars and intricate cravats were fashionable",,"All seen on Pinterest. Second painting is from National Gallaries.org, and the third painting is from topofart.com."
47,0051_image.jpg,1800,1819,1800-1819,men,upper,hairstyle,"Men’s Regency and Empire hairstyles were usually curled, tousled, and swept forward over cheeks and forehead. Very high collars and intricate cravats were fashionable. Brims of top hats were low in front and back, but high on the sides. The width of the brims varied.",,Seen on Pinterest.
48,0145_image.jpg,1810,1860,1800-1819,men,upper,footwear,"Two styles of men's boots, Wellington and Hessian.","Left- A Wellington boot was designed after the Duke of Wellington. The boot had a wide, foldover cuff at the top, tied with an inside cord to hold the boot close to the calf so dirt and detritus could not get inside. Right– The Hessian boot was designed after soldiers from Hesse, in Germany. It has a frontcenter dip, and is often ornamented around the top edge. A tassel hangs at the point of the dip.","Drawn by Carma after Wilson, A History of Shoe Fashion"
49,0065_image.jpg,1800,1819,1800-1819,family,upper,costume,"Regency dance, authentic early Regency illustration.","Note shorter skirts and slippers for dancing. Men wear knee britches, some trousers, and slippers for dancing. One navy man can be seen on right with his dark blue bell-bottomed trousers.",Seen on Pinterest.
50,0022_image.jpg,1800,1810,1800-1819,family,upper,costume,"Man and wife, 1800-1810.","Her dress has a typical high waistline of Regency/Empire with straight, gathered skirt and slender, shorter sleeves. Her hair is parted in the middle without embellishing curls. His hair is short, straight, but swept forward in fashion. He wears a greatcoat over his clothes, but it’s collars and lapels are wide. His high shirt points fold down.",Found on Pinterest.
51,0151_image.jpg,1800,1819,1800-1819,family,upper,costume,Authentic 1800- 1819 Clothing in Museums,"Left: Hunting costumes for man and woman. She wears a skirt and rides sidesaddle. His sleeves with gathers at the top are a give-away of the early 1800s. Trousers and breeches always open with a broadfall flap in front, fastened at each side. His boots are Wellington. Right: Formal clothing. For her, high waistline with slender sleeves and decorated hemline. He wears knee breeches, white stockings and slippers. Above his black tailcoat is a white waistcoat, showing an inch below. He has a fob at his waist and a cravat his neck around his neck.",Museum costumes seen on Pinterest.
52,0067_image.jpg,1800,1820,1800-1819,family,upper,costume,"Regency Man and woman at a ball (from a film production). 1800-1820 Each outfit is correct, but not for the same event.","She is dressed formally for dancing wearing sheer fabric, evening gloves, head decorations, and fan. He wears Wellington boots, a top hat, and gloves for outdoor activities. Maybe he just dropped into the ball on the way home from riding a long distance and hasn’t taken time to change. (A shocking solecism!) That would also account for his unshaven face and hair even more messy than usual. She seems glad to see him anyhow.",Seen on Pinterest.
53,0041_image.jpg,1800,1819,1800-1819,family,upper,costume,Cover of Regency novel by Georgette Heyer. ,"Heyer is a world-acclaimed writing heir to Jane Austin and author of dozens of deliciously authentic Regency novels. In the mid-1980s her publisher enlisted an excellent cover artist who painted the modes of the time with incredible fidelity and amazing artistry. All of her novels of that time bore these wonderful covers. After hours of searching, this author was unable to find out the name of that particular artist, but he or she is a master equal to the very best in history. If you loved Pride and Prejudice, DO race to the library to check out and read her novels! (The gentleman is chewing on his walking stick handle, NOT smoking!)",
54,0071_image.jpg,1800,1819,1800-1819,family,upper,costume,"Authentic 1800 - 1810 Illustrations, men and women, one child.","Note how very high the waistlines are, both front and back, tucked right below the bust line. Bonnets frame the face, fancier for women of wealth. Also, gloves were required in public. Popular toward the 1820s were frills and ruffles at the bottom of a slightly flaring skirt, seen on left. Sleeves were slender but decorated if affordable. Both men wear tailcoats with a bit of waistcoat showing in front, with high collars and cravats. Both have snug trousers or low breeches with Wellington boots. Left top hat is larger at the top than at the base. The child is dressed like her mother but in a dress too large, possibly a hand-me-down or second-hand clothes.",Seen on Pinterest.
55,0139_image.jpg,1800,1819,1800-1819,family,upper,costume,Family playing checkers. 1803,"His coat shoulders are sloped up to a high collar. The coat is double-breasted but has no visible gathering at sleeve tops. His neckcloth covers any shirt collar points and is elaborately tied as the day demands. Trousers are snug, probably knit, and tuck into plain, mid-calf boots. Hair is fashionably disordered and swept forward, but not curled. Mother and daughters wear white, Empire style dresses with under-bust waistlines, low necklines, and snug, short sleeves. Hair is designed in the “Greek style.” A baby sleeps on the mother’s lap.",Found on Pinterest.
56,0140_image.jpg,1800,1819,1800-1819,family,upper,costume,Well-to-do Paris family of 1803. Painting by PasserPayez Boilly.,"In this detailed painting, the observer can take in all the minute details of everyone’s outfits, from father to nursemaid to children, and from headgear to shoes and stockings.",From Wikipedia.
57,0141_image.jpg,1800,1819,1800-1819,family,upper,costume,"Portrait of Antoine-Georges-Francois de Chabaud-Latour and his Family, 1806.","By Jacques-Luc Barbier-Walbonne, in the RISD Museum, Providence, RI. The earliest decade of the 1800s is shown by the classical drape and very high waistlines of the white dresses on mother and daughter. Colors began to come into women’s dresses after 1810- 20. The father’s coat is high and wide through the collar, with a waistcoat that reaches high to cover the shirt collar and tied cravat. He wears wellington boots below buff, knee-buttoned breeches. The boy has colorful clothing with trousers, stockings, and day shoes. He looks excessively bored.",
58,0156_image.jpg,1800,1819,1800-1819,family,upper,costume,Mother and child of well-to-do family. Ca. 1816.,"The abundant lace and fine fabrics of the empire-style clothing indicates wealth. The elaborate hairstyles were probably done by a maid. Women’s hair of this era was always parted in the center, with curls, braids, and other fancy hair curls on side-fronts and braids at top back. The mother’s black dress may indicate mourning, but the plethora of white lace would make it very late mourning",
59,0028_image.jpg,1800,1810,1800-1819,women,upper,costume,1800-1810 Middle-Class best dress fashion plates. ,"Very high waistlines. Very straight skirts follow a classical drape. Left - One woman wears a popular turban with ostrich plume. Right: Evening dresses, long gloves and fans. One dress has a train. The other has an openshoulder sleeve and a large hair ornament.",Seen on Pinterest.
60,0073_image.jpg,1800,1820,1800-1819,women,upper,costume,Patterns for reproductions of dresses for 1800-1820 era. These plain skirts indicate early 1800s.,"Yes, there are patterns for Regency-Empire dresses by most pattern companies! Usually listed as Historic Costumes.",
61,0029_image.jpg,1800,1819,1800-1819,women,upper,costume,Better day dresses with trims for artistic young women,"Higher class young women go about approved daily activities of art and music. Dresses and hair have nice trims, very high waistlines, and narrow skirts, whether gathered or plain. Note that hair for these decades is parted in center, with curls around face and high in back. It’s a popular Greek-sculpture look. Working-class women would copy the silhouettes, but could not afford such decoration.",Seen on Pinterest.
62,0024_image.jpg,1800,1810,1800-1819,women,upper,costume,Better dresses worn with shawls.,"Shawls were standard wear with all dresses, almost everywhere. Such low-cut necklines could only be achieved with corsets that supported the busts. Notice Well-coifed hair, center-parted, curls at sides, and elaborate hair in back or on crown.",Seen on Pinterest.
63,0027_image.jpg,1800,1810,1800-1819,women,upper,costume,Regency or Empire upper-class gown in a portrait.,"Her very low-cut neckline is embroidered with gold, as is her high belt and edge lace of snug sleeve. Her shawl has embroidery at edge and very wide edging at hem. Her hair is parted center, curled on front and sides, with a mop of carelessly-careful curls arranged on top behind a headband.",Seen on Pinterest.
64,0025_image.jpg,1800,1819,1800-1819,women,upper,costume,Early 1800s gowns for Pride and Prejudice.,Left: Gown sketch for Jane Bennet of Pride and Prejudice. Right: Gowns at a ball in unidentified Regency film production. From Pinterest.,
65,0078_image.jpg,1800,1820,1800-1819,women,upper,costume,Authentic dresses in museums.,"The wide and low necklines of the early 1800s were made possible by the use of a corset beneath the gown to support the busts. Even though cinched-in waistlines were not the fashion emphasis, corsets with edge-of-shoulder straps allowed almost any neckline to be very revealing. Cartoons of the time show women with large bosoms practically falling out of their dress tops.",From Pinterest.
66,0084_image.jpg,1800,1820,1800-1819,women,upper,costume,Day dresses of the upper classes.,"Cover of Regency novel by Georgette Heyer. Georgette Heyer is the world-acclaimed writing heir of Jane Austin and has written dozens of deliciously authentic Regency novels. In the mid-1980s her publisher enlisted an excellent cover artist who painted the modes of the time with incredible fidelity and amazing artistry. All of her novels of that decade bore these wonderful covers. After hours of searching, this author was unable to find out the name of that particular artist, but he or she is a master to equal the very best. The details of the dresses here are self-explanatory. If you loved Pride and Prejudice, but have not read Georgette Heyer, race to your nearest library or bookstore (or Amazon) and prepare for a reading treat!",Cover of Regency novel by Georgette Heyer.
